"Service Name","Retail Price","Duration","Extra Time","Tax","Description","Category Name","Treatment Type","Resource","Online Booking","Available For","Voucher Sales","Commissions","Service ID","SKU"
"Solaria CO₂ Laser  - Under Eye ","495.00","1h 30m","","No tax","Experience the rejuvenating power of our carbon laser peel, designed to revitalize your skin and enhance your natural beauty. This advanced treatment gently removes imperfections, leaving your complexion smoother and more radiant. Discover a new level of confidence with healthier-looking skin.","InMode Advanced Face & Body Resurfacing","Laser Resurfacing","Not required","Enabled","Everyone","Enabled","Enabled","23429495",""
"Solaria CO₂ Laser  - Neck & Chin or Full Chest ","595.00","1h 30m","","No tax","Experience the rejuvenating power of our carbon laser peel, designed to revitalize your skin and enhance your natural beauty. This advanced treatment gently removes imperfections, leaving your complexion smoother and more radiant. Discover a new level of confidence with healthier-looking skin.","InMode Advanced Face & Body Resurfacing","Laser Resurfacing","Not required","Enabled","Everyone","Enabled","Enabled","23429495",""
"Solaria CO₂ Laser ","899.00","1h 30m","","No tax","Experience the rejuvenating power of our carbon laser peel, designed to revitalize your skin and enhance your natural beauty. This advanced treatment gently removes imperfections, leaving your complexion smoother and more radiant. Discover a new level of confidence with healthier-looking skin.","InMode Advanced Face & Body Resurfacing","Laser Resurfacing","Not required","Enabled","Everyone","Enabled","Enabled","23429495",""
"Morpheus8 Burst (Full Face) ","799.00","1h","","No tax","What Is Morpheus8 Burst?

Morpheus8 Burst is an RF microneedling treatment that delivers radiofrequency energy at three depths at once, including up to 8mm—about twice the depth of standard Morpheus8. That deeper reach targets collagen and elastin where they’re produced, so you get tightening and remodeling from the inside out, not just at the surface.

What It Treats

Morpheus8 Burst is used for loose skin, fine lines and wrinkles, acne scars, jowls, jawline laxity, crepey skin, enlarged pores, and post–weight loss laxity. It’s suitable for face, neck, décolletage, and body. Many clients see improvement in texture, tone, and contour after a single treatment, with continued improvement for 3–6 months.Who It’s For

Ideal candidates want tightening and rejuvenation without surgery. It works for most skin types and tones. A consultation confirms candidacy and sets expectations.

","InMode Advanced Face & Body Resurfacing","Facial","Not required","Enabled","Everyone","Enabled","Enabled","23429487",""
"Morpheus8 Burst (Full Face)  - Burst Deep Technology - Abdomen, Thights, Arms","995.00","1h 30m","","No tax","What Is Morpheus8 Burst?

Morpheus8 Burst is an RF microneedling treatment that delivers radiofrequency energy at three depths at once, including up to 8mm—about twice the depth of standard Morpheus8. That deeper reach targets collagen and elastin where they’re produced, so you get tightening and remodeling from the inside out, not just at the surface.

What It Treats

Morpheus8 Burst is used for loose skin, fine lines and wrinkles, acne scars, jowls, jawline laxity, crepey skin, enlarged pores, and post–weight loss laxity. It’s suitable for face, neck, décolletage, and body. Many clients see improvement in texture, tone, and contour after a single treatment, with continued improvement for 3–6 months.Who It’s For

Ideal candidates want tightening and rejuvenation without surgery. It works for most skin types and tones. A consultation confirms candidacy and sets expectations.

","InMode Advanced Face & Body Resurfacing","Facial","Not required","Enabled","Everyone","Enabled","Enabled","23429487",""
"Morpheus8 Burst (Full Face)  - MORPHEUS 8 BURST X3","1999.00","1h","","No tax","What Is Morpheus8 Burst?

Morpheus8 Burst is an RF microneedling treatment that delivers radiofrequency energy at three depths at once, including up to 8mm—about twice the depth of standard Morpheus8. That deeper reach targets collagen and elastin where they’re produced, so you get tightening and remodeling from the inside out, not just at the surface.

What It Treats

Morpheus8 Burst is used for loose skin, fine lines and wrinkles, acne scars, jowls, jawline laxity, crepey skin, enlarged pores, and post–weight loss laxity. It’s suitable for face, neck, décolletage, and body. Many clients see improvement in texture, tone, and contour after a single treatment, with continued improvement for 3–6 months.Who It’s For

Ideal candidates want tightening and rejuvenation without surgery. It works for most skin types and tones. A consultation confirms candidacy and sets expectations.

","InMode Advanced Face & Body Resurfacing","Facial","Not required","Enabled","Everyone","Enabled","Enabled","23429487",""
"Peptide Therapy Consultation (Over 50 + Available)","49.00","30m","","No tax","Unlock the potential for better wellness with a comprehensive consultation designed to guide you through peptide therapy. Our expert team will discuss your unique health goals and tailor a plan that may enhance your overall vitality and well-being.","Bioidentical Hormone Therapy (BHRT) & Peptide Therapy","TUG Breast Reconstruction","Not required","Enabled","Everyone","Enabled","Enabled","24414613",""
"17 Hormone panel -Results within 36 hours ","249.00","30m","","No tax","“Think of this hormone panel as your roadmap.”
“We’re not guessing—we’re getting a clear snapshot of what your hormones are doing right now and how your body is functioning overall. That way, if we move forward with BioTE, we can personalize your plan for the best results and the safest experience.” 
Biote

What we’re checking (in plain language)

Key hormones (like testosterone + estradiol):
“These help us see whether your levels may be too low or out of balance compared to how you’re feeling.” 

FSH (commonly for women):
“This helps us understand where you may be in the menopause transition and how that could be affecting symptoms.” 

Thyroid markers (TSH, T3, T4 ± TPO):
“Thyroid function can mimic hormone-imbalance symptoms—fatigue, weight changes, brain fog—so we check it to make sure we’re seeing the full picture.” 


CBC (complete blood count):
“This checks basics like red and white blood cells—overall health and safety markers.” 


","Bioidentical Hormone Therapy (BHRT) & Peptide Therapy","Medical Care","Not required","Enabled","Everyone","Enabled","Enabled","19675764",""
"4-Week Tirzepatide Program ","349.00","15m","","No tax","Tirzepatide is a prescription medication that works with your body instead of against it. Most of us were taught that weight is purely about willpower, that if we just tried harder we'd succeed. But for a lot of people, the real struggle is something called ""food noise"" — the constant background hum of cravings, the snacking that isn't really hunger, the feeling of never being satisfied. Tirzepatide works on the same appetite signals your body already uses, so that noise quiets down. You feel full sooner. You think about food less. And for the first time in a long time, eating in a way that feels good stops being a daily battle.
It is not a magic shot, and I won't insult you by pretending it is. It's a tool — a really good one — that works best alongside the everyday things we all know matter: nourishing food, movement you enjoy, water, rest. What the medication does is finally make those things feel possible instead of impossible. It levels the playing field.","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","24430106",""
"Retatrutide GLP-1 Weight loss is here!!!  Power Triple action agonist  - From","550.00","20m","","No tax","Experience the latest in weight management with this innovative triple action hormone receptor agonist GLP-1 Peptide. The latest and greatest and most potent weight loss drug on the market is now available at Hello Gorgeous. Ryan Kent is happy to consult free of charge and discuss your options. ","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","22135540",""
"Retatrutide GLP-1 Weight loss is here!!!  Power Triple action agonist  - (2 Month) 2 and 4 ml ","699.00","30m","","No tax","Experience the latest in weight management with this innovative triple action hormone receptor agonist GLP-1 Peptide. The latest and greatest and most potent weight loss drug on the market is now available at Hello Gorgeous. Ryan Kent is happy to consult free of charge and discuss your options. ","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","22135540",""
"Retatrutide GLP-1 Weight loss is here!!!  Power Triple action agonist  - Month 3 - 4ml for 4 weeks","799.00","1h","","No tax","Experience the latest in weight management with this innovative triple action hormone receptor agonist GLP-1 Peptide. The latest and greatest and most potent weight loss drug on the market is now available at Hello Gorgeous. Ryan Kent is happy to consult free of charge and discuss your options. ","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","22135540",""
"Semaglutide (Wegovy/Ozempic)  - From","299.00","15m","","No tax","Transform your weight loss journey with this innovative injection that helps manage cravings and support your goals. Experience a new approach to achieving a healthier lifestyle at Hello Gorgeous Med Spa, where your wellness is our priority.","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","19613503",""
"Semaglutide (Wegovy/Ozempic)  - 90 Day Program Save $200 Upfront ","825.00","10m","","No tax","Transform your weight loss journey with this innovative injection that helps manage cravings and support your goals. Experience a new approach to achieving a healthier lifestyle at Hello Gorgeous Med Spa, where your wellness is our priority.","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","19613503",""
"Tirzepatide (Zepbound/Mounjaro)  - up to 5 ml per injection - From","349.00","15m","","No tax","During your consultation with Ryan Kent, APRN we will provide a :
 
Medical Evaluation

Review medical history (e.g., thyroid cancer risk, pancreatitis, diabetes, heart disease).

We will check baseline blood work if needed (e.g., glucose, kidney function, lipid profile).

Discuss your options for medication :

Medication Selection

Semaglutide (Wegovy/Ozempic): Once-weekly injection, gradually titrated.

Liraglutide (Saxenda): Daily injection, increased gradually.

Tirzepatide (Zepbound/Mounjaro): Once-weekly injection, gradually increased.

Dosage:

Dosage Titration (Example for Semaglutide)

Week 1-4: 0.25 mg once weekly

Week 5-8: 0.5 mg once weekly

Week 9-12: 1.0 mg once weekly

Week 13+: Increase up to 2.4 mg weekly as tolerated

Administration Guidelines

Inject subcutaneously (abdomen, thigh, or upper arm).

Rotate injection sites to prevent irritation.

Take consistently on the same day each week.

Can be taken with or without food.


","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","19613488",""
"Tirzepatide (Zepbound/Mounjaro)  - 5ml-10 ml per injection","500.00","20m","","No tax","During your consultation with Ryan Kent, APRN we will provide a :
 
Medical Evaluation

Review medical history (e.g., thyroid cancer risk, pancreatitis, diabetes, heart disease).

We will check baseline blood work if needed (e.g., glucose, kidney function, lipid profile).

Discuss your options for medication :

Medication Selection

Semaglutide (Wegovy/Ozempic): Once-weekly injection, gradually titrated.

Liraglutide (Saxenda): Daily injection, increased gradually.

Tirzepatide (Zepbound/Mounjaro): Once-weekly injection, gradually increased.

Dosage:

Dosage Titration (Example for Semaglutide)

Week 1-4: 0.25 mg once weekly

Week 5-8: 0.5 mg once weekly

Week 9-12: 1.0 mg once weekly

Week 13+: Increase up to 2.4 mg weekly as tolerated

Administration Guidelines

Inject subcutaneously (abdomen, thigh, or upper arm).

Rotate injection sites to prevent irritation.

Take consistently on the same day each week.

Can be taken with or without food.


","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","19613488",""
"Tirzepatide (Zepbound/Mounjaro)  - 12 ML-15ML","550.00","20m","","No tax","During your consultation with Ryan Kent, APRN we will provide a :
 
Medical Evaluation

Review medical history (e.g., thyroid cancer risk, pancreatitis, diabetes, heart disease).

We will check baseline blood work if needed (e.g., glucose, kidney function, lipid profile).

Discuss your options for medication :

Medication Selection

Semaglutide (Wegovy/Ozempic): Once-weekly injection, gradually titrated.

Liraglutide (Saxenda): Daily injection, increased gradually.

Tirzepatide (Zepbound/Mounjaro): Once-weekly injection, gradually increased.

Dosage:

Dosage Titration (Example for Semaglutide)

Week 1-4: 0.25 mg once weekly

Week 5-8: 0.5 mg once weekly

Week 9-12: 1.0 mg once weekly

Week 13+: Increase up to 2.4 mg weekly as tolerated

Administration Guidelines

Inject subcutaneously (abdomen, thigh, or upper arm).

Rotate injection sites to prevent irritation.

Take consistently on the same day each week.

Can be taken with or without food.


","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","19613488",""
"MEDICAL WEIGHT MANAGEMENT PROGRAM ","295.00","30m","","No tax","💗 HELLO GORGEOUS MED SPA
🏋️‍♀️ Medical Weight Management Program
Powered by RX Pharmacy Compounds

🎯 Target Fat, Cravings, and Low Energy with Our $249 Special

We offer :

✅ Naltrexone (oral capsules, nightly)
✅ Sermorelin (subcutaneous injections
✅ Lipo-Trim SL (oral spray, daily)



Benefits:
Boost metabolism & fat-burning

Curb cravings & suppress appetite

Improve energy & mental focus

Support better sleep & hormone function","Weight Loss Injections","Weight Loss Program","Not required","Enabled","Everyone","Enabled","Enabled","20005590",""
"Prepaid injection- weight loss - Free","0.00","15m","","No tax","Client pre paid package","Weight Loss Injections","Fat Dissolving Injections","Not required","Disabled","","Enabled","Enabled","19944063",""
"Multi-Site Session ","249.00","30m","","No tax","Experience targeted relief in just 15–20 minutes as we address multiple trigger points. This focused session helps ease muscle tension and discomfort, leaving you feeling refreshed and more comfortable in no time. Perfect for quick, effective relief.","Trigger Point Injections","Trigger Point Massage","Not required","Enabled","Everyone","Enabled","Enabled","21301110",""
"Intro Offer ","149.00","30m","","No tax","Experience targeted relief in just 10 minutes, ideal for newcomers or those with specific tension points. Perfect for first-time clients or addressing focused knots, this quick session helps you feel relaxed and refreshed.","Trigger Point Injections","Trigger Point Massage","Not required","Enabled","Everyone","Enabled","Enabled","21301100",""
"The Glass Glow Facial (Hydra + Dermaplanning + Baby Tox )","349.00","1h","","No tax","✨ Glow + Smooth: Dermaplaning Facial with BabyTox Microchanneling & Hydra

This advanced facial combines two powerhouse treatments. 
Combines Hydration + Smoothing + BabyTox magic.

""Baby Botox,"" is a cosmetic procedure using a smaller dose of botulinum toxin (the same substance in Botox) injected into the skin, rather than directly into the muscles, to achieve a smoother, more rejuvenated appearance with subtle results. It's designed to address fine lines and wrinkles and improve skin texture without the risk of a ""frozen"" or unnatural look associated with traditional Botox. 
Smaller Dose:
MicroTox uses a lower concentration of botulinum toxin compared to traditional Botox. 
Superficial Injections:
The injections are made just below the skin's surface, targeting the superficial layers rather than the underlying muscles. 
MicroTox delivers more delicate, natural-looking results, focusing on improving skin tone, texture, and fine lines without significantly altering facial movement. 
","GlowTox Facial ( Our Signature)","Microneedling","Not required","Enabled","Everyone","Enabled","Enabled","19876062",""
"Anteage Growth Factor UnderEye Mesotherapy Treatment ","199.00","30m","","No tax","🌸 AnteAGE® Under-Eye Mesotherapy
Targeted Rejuvenation Using Stem Cell Growth Factors

📌 What It Is:
A minimally invasive under-eye treatment using AnteAGE MD Growth Factor Solution, designed specifically for delicate periorbital skin. This mesotherapy-style treatment delivers bio-identical stem cell-derived growth factors and cytokines directly into the skin to reduce:

Dark circles

Fine lines & wrinkles

Puffiness

Skin laxity & crepey texture","ANTEAGE-  THE FUTURE OF SKIN REGENERATION IS HERE","Mesotherapy","Not required","Enabled","Everyone","Enabled","Enabled","20398054",""
"Anteage IPL PhotoFacial with  Stem Cell Growth Factors ","249.00","1h","","No tax","","ANTEAGE-  THE FUTURE OF SKIN REGENERATION IS HERE","IPL Treatment","Not required","Enabled","Everyone","Enabled","Enabled","20376732",""
"ANTEAGE Microneedling with Hylauranic Acid (Good Results)","249.00","45m","","No tax","“Boost Your Microneedling with AnteAGE + HA”

“Stem cell growth factors speed up healing, HA hydrates deep. It’s science-backed beauty.”

“This combo boosts collagen, fades fine lines, and leaves you GLOWING ✨”


 “Book now to upgrade your microneedling session!”

","ANTEAGE-  THE FUTURE OF SKIN REGENERATION IS HERE","Microneedling","Not required","Enabled","Everyone","Enabled","Enabled","20288406",""
"ANTEAGE Microneedling with Exosomes & Biosomes( Best Results)","499.00","45m","","No tax","AnteAGE MDX Exosomes
A first of its kind, AnteAGE MDX Exosome Solution is a highly concentrated exosome treatment solution for topical use in combination with microneedling, radiofrequency, laser, and other treatments. This hybrid exosome cocktail strikes the ideal balance between potency and stability, resulting in a powerful, potent, ultra-pure exosome treatment solution unlike any other! 

Exosome Solution comes in a lyophilized form to preserve the highest level of quality and purity. 

✨ THE FUTURE OF SKIN REGENERATION IS HERE
Microneedling + AnteAGE® Exosomes
📍 Only at Hello Gorgeous Med Spa

🧬 What are Exosomes?
They’re tiny powerhouse messengers derived from stem cells, clinically designed to boost healing, improve cell communication, and supercharge collagen production.

💉 When combined with Microneedling, you get:

🔹 Dramatically reduced redness & downtime

🔹 Firmer, smoother, more radiant skin

🔹 Faster recovery, visible glow in days

🔹 Enhanced skin texture & tone","ANTEAGE-  THE FUTURE OF SKIN REGENERATION IS HERE","Microneedling","Not required","Enabled","Everyone","Enabled","Enabled","20288732",""
"Hair Restoration with Exosome Injections ","499.00","45m","","No tax","AnteAGE MDX
Hair Exosomes
Our groundbreaking AnteAGE MDX® Exosome Hair Solution takes hair health to the next level. Backed by rigorous scientific research and our commitment to innovation, AnteAGE MDX ensures results.

​

Our unique approach to enhancing the cell culture conditions for our stem cells results in exosomes specifically targeted to upregulate WNT signaling – a crucial signaling pathway involved with hair follicle development. Not only do the exosomes target WNT signalizing, they also retain the regenerative capabilities that you are accustomed to seeing across the AnteAGE product line.

AnteAGE MDX Exosome Hair Solution combines exosomes with caffeine for follicle stimulation and azelaic acid to counteract the effects of DHT, addressing all of your hair loss concerns.

Treatment includes at home Aftercare Kit ","ANTEAGE-  THE FUTURE OF SKIN REGENERATION IS HERE","Scalp Micropigmentation","Not required","Enabled","Everyone","Enabled","Enabled","20288748",""
"(Hylanex) lip dissolver - From","250.00","30m","","No tax","","DERMAL FILLERS","Lip Fillers","Not required","Enabled","Everyone","Enabled","Enabled","21304175",""
"Per Syringe ","599.00","1h","","No tax","Experience a revitalized appearance with our dermal filler treatment, available per syringe. This service helps to enhance facial contours and restore volume, providing a refreshed look you’ll love. Your journey to subtle beauty starts here, with personalized care to meet your unique needs.","DERMAL FILLERS","Dermal Fillers","Not required","Enabled","Everyone","Enabled","Enabled","20173670",""
"VITAMIN INJECTIONS","25.00","10m","","No tax","BCAA (Branched-Chain Amino Acids)	Promotes muscle repair and reduces breakdown

L-Carnitine	Converts fat to energy, reduces fatigue

Glutathione	Powerful antioxidant, reduces inflammation

Magnesium Sulfate	Eases cramps, improves muscle function

NAD+	Enhances cellular energy production and recovery

CoQ10	Improves oxygen use and tissue repair

Taurine	Balances electrolytes, reduces cramps

Vitamin B12 or B-Complex	Boosts energy and supports nervous system recovery

Vitamin C	Aids in collagen production and tissue healing

","VITAMIN INJECTIONS","Anti-Wrinkle Injections","Not required","Enabled","Everyone","Enabled","Enabled","20012913",""
"REBOOT (HANGOVER)  IV THERAPY ","149.00","1h","","No tax","Replenish your body and combat hangover-related symptoms like dehydration, headache, and nausea with our Reboot IV Kit. This premix is one of our various IV nutrition therapy offerings and includes ten treatments of premium-quality compounds designed to replenish the fluids needed for optimal wellness.","IV DRIP PACKAGE DEALS","IV Drip","Not required","Enabled","Everyone","Enabled","Enabled","19734101",""
"IV BEAUTY","189.00","1h","","No tax","Designed to help bring out radiance and natural glow, this kit includes ten treatments of premium-quality compounds believed to fortify hair, skin and nails, reduce wrinkles and quench skin from the inside out.


Fortifies hair, skin and nails
Reduces wrinkles
Quenches tired skin","IV DRIP PACKAGE DEALS","IV Drip","Not required","Enabled","Everyone","Enabled","Enabled","19734094",""
"MYER'S COCKTAIL","199.00","1h","","No tax","The Myers’ Cocktail, named after Dr. John Myers, is a widely popular IV treatment that includes Magnesium, Calcium, B Complex, and additional B6, B5, and B12. It’s known for its effectiveness against fatigue, stress, and anxiety.","IV DRIP PACKAGE DEALS","IV Drip","Not required","Enabled","Everyone","Enabled","Enabled","19734077",""
"IV JET LAG","149.00","1h","","No tax","Ideal for pre or post-travel, this treatment includes B Vitamins and Vitamin C with a Super B intramuscular shot to boost energy and immune health during your trip.","IV DRIP PACKAGE DEALS","IV Drip","Not required","Enabled","Everyone","Enabled","Enabled","19734071",""
"B-Lean IV Kit","149.00","1h","","No tax","Designed to help burn fat and boost metabolism, the B-Lean IV kit includes ten treatments of premium-quality compounds, harnessing the benefits of B vitamins to raise energy levels and support a healthy metabolism.


Helps convert fat into energy
Enhances athletic performance
Improves overall mood
Boosts your metabolism","IV DRIP PACKAGE DEALS","IV Drip","Not required","Enabled","Everyone","Enabled","Enabled","19734057",""
"Medical Visit with Ryan Kent APRN , FNP","49.00","15m","","No tax","Experience personalized, professional care from a trusted medical provider. Meet with Ryan Kent, APRN, FNP, for a thorough medical visit tailored to your needs. This service offers a supportive environment where your wellness and beauty concerns are addressed with expertise and attention.","Medical Visit with Ryan Kent, APRN, FNP-BC, FPA","TUG Breast Reconstruction","Not required","Enabled","Everyone","Enabled","Enabled","19910965",""
"Botox /Jeuveau/Dysport ","12.00","30m","","No tax","💉 Botox, Jeuveau, and Dysport — What They Are

All three are botulinum toxin type A injectables that temporarily relax targeted muscles to smooth dynamic wrinkles (like frown lines, forehead creases, and crow’s feet). They’re FDA-approved, safe, and work in very similar ways, but they differ in branding, onset, diffusion, and cost.

🔎 Botox (onabotulinumtoxinA)

The OG — first FDA-approved, most studied brand.

Onset: ~5–7 days to see results.

Duration: 3–4 months (sometimes up to 6).

Best for: Patients who want the most tested, most trusted option.

Cost: Usually priced per unit, slightly more expensive but name-recognition strong.

🔎 Dysport (abobotulinumtoxinA)

Onset: Faster — often 2–3 days.

Spread: Tends to diffuse more once injected → good for large areas like the forehead.

Duration: ~3–4 months.

Best for: Patients wanting quicker results or broader coverage with fewer injections.

Note: Diffusion can be a double-edged sword — not ideal for small, precise areas ","BOTOX","Anti-Wrinkle Injections","Not required","Enabled","Everyone","Enabled","Enabled","20075569",""
"Lip Flip Special ","99.00","30m","","No tax","Pout Perfection for Less! 💋
Introducing the Lip Flip – a quick, subtle way to enhance your smile using Botox!
Just a few units give your upper lip a fuller, lifted appearance… no filler needed!

✨ Limited Time Special: $99 Lip Flip ✨
Get that effortlessly plump look in minutes.

📍 Hello Gorgeous Med Spa – Oswego, IL
📲 Book now: hellogorgeousbeautysupply.com
📞 Call/text: 630-881-3398","BOTOX","Anti-Wrinkle Injections","Not required","Enabled","Everyone","Enabled","Enabled","19819621",""
